slug_sheet,slug_web,titulo,estado_sheet,en_sitemap,en_web_json,migrar,categoria_wp,estilo_viaje,tags,precio_usd_web,quote_only,duracion,duracion_ok,dias_itinerario,itinerario_ok,includes_count,excludes_count,gsc_clics_16m,gsc_impresiones_16m,gsc_posicion,en_hub_packages,url_web
sacred-valley-machu-picchu-2d,sacred-valley-machu-picchu-2d,≫ Sacred Valley and Machu Picchu - Unforgettable Tour 2d,publish,yes,yes,yes,,Trekking,,0,yes,2D/1N,yes,2,yes,3,8,,,,no,/tour/sacred-valley-machu-picchu-2d/
sacred-valley-of-the-incas-tour,sacred-valley-of-the-incas-tour,Sacred Valley of the Incas Tour,publish,yes,yes,yes,,,,80,no,2D/1N,yes,1,yes,1,1,,,,no,/tour/sacred-valley-of-the-incas-tour/
sacred-valley-short-inca-trail-3d,sacred-valley-short-inca-trail-3d,3-Day Sacred Valley & Short Inca Trail Tour,publish,yes,yes,yes,Inca Trail Treks,Trekking,Inca Trail,620,no,,no,3,yes,3,8,1,1603,58.84,yes,/tour/sacred-valley-short-inca-trail-3d/
salkantay-trek-4-days,salkantay-trek-4-days,4-Day Salkantay Sky Camp Trek to Machu Picchu,publish,yes,yes,yes,Alternative Inca Trail Treks,Trekking,Salkantay Treks,699,no,1s;animation-fill-mode:both;animation-delay:0s;animation-iteration-count:1;}		@keyframes center{from{transform:scale(0);}to{transform:scale(1);}}.ht_ctc_an_entry_center{animation: center .25s;},no,4,yes,5,10,1,3259,51.46,yes,/tour/salkantay-trek-4-days/
short-inca-trail-2d,short-inca-trail-2d,2-Day Short Inca Trail to Machu Picchu,publish,yes,yes,yes,Inca Trail Treks,Trekking,Inca Trail,565,no,,no,2,yes,3,8,3,2508,74.68,yes,/tour/short-inca-trail-2d/
short-inca-trail-with-amazon-rainforest-8d,short-inca-trail-with-amazon-rainforest-8d,8-Day Peru Itinerary with Inca Trail & Amazon Jungle,publish,yes,yes,yes,Tours in Peru,Combined Travel,Peru,1775,no,8D/7N,yes,8,yes,16,30,9,1573,41.98,yes,/tour/short-inca-trail-with-amazon-rainforest-8d/
spectacular-cusco-7-days,spectacular-cusco-7-days,Cusco 7-Day Itinerary with Sacred Valley & Inca Heritage,publish,yes,yes,yes,,"Combined Travel, Traditional",Offers,886,no,1 day,yes,9,yes,8,7,1,556,24.91,no,/tour/spectacular-cusco-7-days/
spectacular-peru-10d,spectacular-peru-10d,"10-Day Peru Itinerary with Machu Picchu, Cusco & Puno",publish,yes,yes,yes,"Best Selling Packages in Peru, Tours in Peru",Combined Travel,"Lima Blog, Lima tours, Peru, Popular Deals, Puno Blog, Puno Tours",1303,no,10D/9N,yes,10,yes,11,7,2,14875,12.14,yes,/tour/spectacular-peru-10d/
super-sacred-valley-tour,super-sacred-valley-tour,Sacred Valley of the Incas Tour,publish,yes,yes,yes,,,,80,no,2D/1N,yes,1,yes,1,1,1,119,56.56,no,/tour/super-sacred-valley-tour/
the-classic-salkantay-trek-5d,the-classic-salkantay-trek-5d,5-Day Salkantay Sky Camp Trek to Machu Picchu,publish,yes,yes,yes,Alternative Inca Trail Treks,Trekking,Salkantay Treks,731,no,1s;animation-fill-mode:both;animation-delay:0s;animation-iteration-count:1;}		@keyframes center{from{transform:scale(0);}to{transform:scale(1);}}.ht_ctc_an_entry_center{animation: center .25s;},no,5,yes,6,10,1,1218,26.79,yes,/tour/the-classic-salkantay-trek-5d/
tour-by-bike-maras-moray-and-salineras,tour-by-bike-maras-moray-and-salineras,Maras & Moray Bike Tour from Cusco,publish,yes,yes,yes,Day Tours in Cusco,"Adrenaline, Traditional",Cusco,220,no,1 day,yes,1,yes,1,8,,,,yes,/tour/tour-by-bike-maras-moray-and-salineras/
tour-south-valley-cusco,tour-south-valley-cusco,South Valley in Cusco: Discover Hidden Gems,publish,yes,yes,yes,,,,60,no,2D/1N,yes,1,yes,1,1,1,374,50.01,no,/tour/tour-south-valley-cusco/
tour-waqrapukara-cusco,tour-waqrapukara-cusco,Tour Cusco - Waqrapukara - Cusco,publish,yes,yes,yes,,,,90,no,2D/1N,yes,1,yes,1,1,0,307,53.83,no,/tour/tour-waqrapukara-cusco/
trek-humantay-salkantay-2d,trek-humantay-salkantay-2d,2-Day Humantay Lake & Salkantay Pass Trek,publish,yes,yes,yes,Inca Trail Treks,Trekking,Salkantay Treks,350,no,1s;animation-fill-mode:both;animation-delay:0s;animation-iteration-count:1;}		@keyframes center{from{transform:scale(0);}to{transform:scale(1);}}.ht_ctc_an_entry_center{animation: center .25s;},no,2,yes,16,5,12,3008,41,yes,/tour/trek-humantay-salkantay-2d/
unforgettable-machu-picchu-8d,unforgettable-machu-picchu-8d,8-Day Machu Picchu Itinerary with Cusco & Sacred Valley,publish,yes,yes,yes,Tours in Machu Picchu,Traditional,"Cusco Blog, Machu Picchu Tours",982,no,8D/7N,yes,8,yes,9,7,4,1205,19.95,yes,/tour/unforgettable-machu-picchu-8d/
wonder-of-peru-coast-andes-and-rainforest-13d,wonder-of-peru-coast-andes-and-rainforest-13d,"13-Day Peru Itinerary with Coast, Andes & Amazon Adventure",publish,yes,yes,yes,Tours in Peru,Combined Travel,Peru,2159,no,13D/12N,yes,13,yes,14,7,1,316,34.67,yes,/tour/wonder-of-peru-coast-andes-and-rainforest-13d/
wonderful-peru-12-days,wonderful-peru-12-days,"12-Day Peru Tour: Machu Picchu, Puno & Arequipa",publish,yes,yes,yes,Tours in Peru,Combined Travel,Peru,1561,no,12D/11N,yes,12,yes,13,8,2,333,35.64,yes,/tour/wonderful-peru-12-days/
